participant.ID,gender,experiment,treatment,exp.level,age,score,wait.pref,wait.spell,pos.baseline,neg.baseline,pos.post,neg.post,motivation
78,Cisgender woman,waiting,loser,inexperienced,18,-28,1,wait,22,13,22,11,3
79,Cisgender woman,waiting,winner,experienced,18,23,0,start,26,13,21,10,3
80,Cisgender woman,waiting,loser,inexperienced,18,-24,1,wait,23,18,37,29,4
81,Cisgender woman,waiting,winner,inexperienced,18,25,0,start,27,16,43,17,5
82,Cisgender woman,waiting,loser,experienced,18,-23,0,start,18,11,18,10,2
83,Cisgender woman,waiting,loser,inexperienced,24,-32,0,start,44,13,47,21,5
84,Cisgender woman,waiting,winner,inexperienced,18,11,0,start,24,16,33,10,4
85,Cisgender woman,waiting,winner,inexperienced,20,11,0,start,27,14,21,19,2
86,Cisgender woman,waiting,loser,inexperienced,18,-26,1,wait,28,13,26,17,1
87,Cisgender woman,waiting,winner,experienced,18,20,0,start,25,19,32,15,4
88,Cisgender woman,waiting,loser,experienced,18,-16,1,wait,30,14,29,14,3
89,Prefer not to say,waiting,loser,inexperienced,18,-27,1,wait,31,19,28,24,4
90,Cisgender man,waiting,winner,inexperienced,17,20,0,start,39,13,50,16,5
91,Nonbinary,waiting,loser,experienced,26,-23,0,start,29,15,16,15,1
92,Cisgender woman,waiting,winner,experienced,18,20,0,start,21,17,23,16,3
93,Cisgender woman,waiting,winner,experienced,18,10,0,start,28,18,36,17,4
94,Cisgender woman,waiting,loser,experienced,17,-28,1,wait,12,18,17,13,2
95,Cisgender woman,waiting,loser,experienced,18,-24,0,start,28,28,22,29,3
96,Cisgender woman,waiting,winner,experienced,18,18,0,start,26,18,35,20,4
97,Cisgender man,waiting,loser,experienced,18,-12,1,wait,29,18,19,12,3
98,Cisgender man,waiting,winner,experienced,18,20,1,wait,23,13,24,17,4
99,Cisgender woman,waiting,winner,experienced,18,11,0,start,20,12,37,13,5
100,Cisgender man,waiting,loser,experienced,18,-20,1,wait,26,14,25,20,4
101,Cisgender man,waiting,winner,inexperienced,17,13,0,start,25,11,18,10,4
102,Cisgender man,waiting,loser,experienced,17,-19,1,wait,38,11,34,13,4
103,Cisgender woman,waiting,winner,inexperienced,18,12,0,start,16,12,24,11,4
104,Cisgender woman,waiting,loser,inexperienced,17,-24,1,wait,29,23,23,26,4
105,Cisgender man,waiting,winner,inexperienced,20,14,0,start,38,16,40,15,5
106,Cisgender man,waiting,loser,experienced,17,-20,1,wait,29,20,26,23,3
107,Cisgender woman,waiting,winner,experienced,18,13,0,start,38,15,48,11,4
108,Cisgender man,waiting,loser,experienced,18,-14,1,wait,29,22,18,24,3
109,Cisgender man,waiting,loser,experienced,17,-20,1,wait,20,12,19,11,4
110,Cisgender woman,waiting,winner,inexperienced,18,16,0,start,22,12,31,12,4
