participant.ID,gender,experiment,exp.level,age,treatment,score,pref,pref.spell,pos.baseline,neg.baseline,pos.post,neg.post,motivation
81,Cisgender man,switching,NA,18,winner,28,1,NA,42,12,36,10,NA
82,Cisgender man,switching,NA,18,loser,-21,4,NA,26,16,32,20,NA
83,Cisgender man,switching,NA,18,loser,-22,1,NA,26,12,30,10,NA
84,Cisgender woman,switching,NA,18,winner,26,4,NA,17,14,20,17,NA
85,Cisgender woman,switching,NA,18,loser,-31,3,NA,35,30,26,33,NA
86,Cisgender woman,switching,NA,18,winner,25,4,NA,25,14,23,21,NA
87,Cisgender woman,switching,NA,18,loser,-30,3,NA,31,19,39,21,NA
88,Cisgender man,switching,NA,19,winner,28,4,NA,30,11,22,20,NA
89,Cisgender man,switching,NA,18,winner,28,4,NA,29,12,25,10,NA
90,Cisgender woman,switching,NA,18,loser,-28,4,NA,25,11,21,11,NA
91,Cisgender woman,switching,NA,18,loser,-33,4,NA,34,14,31,26,NA
92,Cisgender man,switching,NA,19,winner,30,2,NA,26,10,20,10,NA
93,Cisgender woman,switching,NA,18,winner,28,1,NA,37,16,41,11,NA
94,Cisgender woman,switching,NA,18,loser,-28,4,NA,31,27,31,25,NA
95,Cisgender woman,switching,NA,18,loser,-23,2,NA,23,12,28,26,NA
96,Cisgender man,switching,NA,18,winner,25,1,NA,33,16,43,15,NA
97,Cisgender man,switching,NA,21,winner,28,3,NA,25,14,35,16,NA
98,Cisgender woman,switching,NA,18,loser,-27,5,NA,25,13,21,16,NA
99,Cisgender woman,switching,NA,19,winner,25,4,NA,36,17,39,13,NA
100,Cisgender man,switching,NA,18,loser,-20,5,NA,34,18,22,17,NA
101,Cisgender woman,switching,NA,19,loser,-17,4,NA,17,11,22,13,NA
102,Cisgender man,switching,NA,18,winner,27,4,NA,33,12,36,12,NA
103,Cisgender man,switching,NA,18,loser,-20,5,NA,25,12,28,15,NA
104,Cisgender man,switching,NA,18,winner,29,1,NA,36,16,35,18,NA
105,Cisgender man,switching,NA,19,winner,29,1,NA,27,16,29,11,NA
106,Cisgender man,switching,NA,18,loser,-21,3,NA,41,24,40,36,NA
107,Cisgender man,switching,NA,18,loser,-13,4,NA,27,18,31,11,NA
108,Cisgender woman,switching,NA,18,winner,27,4,NA,28,17,29,13,NA
109,Prefer not to say,switching,NA,20,loser,-24,5,NA,19,37,20,32,NA
110,Cisgender woman,switching,NA,19,winner,23,4,NA,17,16,17,10,NA
111,Cisgender man,switching,NA,18,winner,28,3,NA,33,19,38,15,NA
112,Cisgender woman,switching,NA,19,loser,-26,4,NA,27,13,32,12,NA
113,Cisgender man,switching,NA,18,winner,25,3,NA,34,10,27,13,NA
114,Cisgender woman,switching,NA,19,loser,-19,5,NA,22,12,18,15,NA
115,Cisgender woman,switching,NA,18,winner,27,2,NA,36,16,41,22,NA
116,Cisgender man,switching,NA,18,loser,-7,4,NA,28,11,29,13,NA
117,Cisgender man,switching,NA,18,winner,31,1,NA,35,13,44,13,NA
118,Cisgender man,switching,NA,18,loser,-11,3,NA,31,15,26,14,NA
119,Cisgender woman,switching,NA,19,winner,26,4,NA,26,11,18,13,NA
120,Cisgender woman,switching,NA,18,loser,-19,4,NA,36,20,32,25,NA
121,Cisgender man,switching,NA,18,winner,31,2,NA,34,13,39,11,NA
122,Cisgender man,switching,NA,18,loser,-22,4,NA,26,16,17,15,NA
123,Gender fluid,switching,NA,18,loser,-29,4,NA,39,18,39,15,NA
124,Cisgender man,switching,NA,22,winner,30,2,NA,26,16,25,16,NA
